"Sport","Game_Type","Entry_Key","Entry","Contest_Key","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NHL","Classic",3012421578,"NHL $100 Dime Time [Just $0.10!] (Turbo) (3/3)",120014411,"2021-12-05 19:30:00",582,74.1,"$0.00","$0.00",916,"$0.10","$100.00",277
"NHL","Classic",3012415087,"NHL $100 Dime Time [Just $0.10!] (Turbo) (1/3)",120014411,"2021-12-05 19:30:00",632,69.6,"$0.00","$0.00",916,"$0.10","$100.00",277
"NBA","Showdown Captain Mode",3012283695,"NBA Showdown $1.5K Quarter Jukebox [Just $0.25!] (NOP vs HOU) (2/2)",119883992,"2021-12-05 19:00:00",2835,207.88,"$0.00","$0.00",6349,"$0.25","$1,500.00",1706
"NBA","Showdown Captain Mode",3012283694,"NBA Showdown $1.5K Quarter Jukebox [Just $0.25!] (NOP vs HOU) (1/2)",119883992,"2021-12-05 19:00:00",3871,202,"$0.00","$0.00",6349,"$0.25","$1,500.00",1706
"NBA","Classic",3011975203,"NBA $750 Quarter Jukebox [Just $0.25!]  (4/4)",119997872,"2021-12-05 18:00:00",1288,268.75,"$0.00","$0.00",3567,"$0.25","$750.00",812
"NBA","Classic",3011957295,"NBA $750 Quarter Jukebox [Just $0.25!]  (1/4)",119997872,"2021-12-05 18:00:00",1408,265.25,"$0.00","$0.00",3567,"$0.25","$750.00",812
"NBA","Classic",3011965793,"NBA $750 Quarter Jukebox [Just $0.25!]  (2/4)",119997872,"2021-12-05 18:00:00",1408,265.25,"$0.00","$0.00",3567,"$0.25","$750.00",812
"NBA","Classic",3011975186,"NBA $750 Quarter Jukebox [Just $0.25!]  (3/4)",119997872,"2021-12-05 18:00:00",2050,250.25,"$0.00","$0.00",3567,"$0.25","$750.00",812
"NBA","Classic",3011974958,"Casual NBA $1 50-50",120004353,"2021-12-05 18:00:00",7,241.75,"$0.00","$0.00",10,"$1.00","$9.00",5
"NBA","Classic",3008231508,"NBA $2K Quarter Jukebox [Just $0.25!] (Night) (1/2)",119821639,"2021-12-04 22:00:00",1551,266.75,"$0.50","$0.00",9512,"$0.25","$2,000.00",2266
"NBA","Classic",3008301354,"NBA $2K Quarter Jukebox [Just $0.25!] (Night) (2/2)",119821639,"2021-12-04 22:00:00",1551,266.75,"$0.50","$0.00",9512,"$0.25","$2,000.00",2266
"NHL","Showdown",3005048843,"NHL Showdown $100 Dime Time [Just $0.10!] (CGY vs LA) (2/2)",119771690,"2021-12-02 22:30:00",9,109,"$0.75","$0.00",1189,"$0.10","$100.00",277
"NHL","Showdown",3005048043,"NHL Showdown $100 Dime Time [Just $0.10!] (CGY vs LA) (1/2)",119771690,"2021-12-02 22:30:00",267,84.8,"$0.20","$0.00",1189,"$0.10","$100.00",277
"NHL","Classic",3004355179,"NHL $1.5K Quarter Jukebox [Just $0.25!] (2/2)",119701390,"2021-12-02 19:00:00",4286,92.6,"$0.00","$0.00",7134,"$0.25","$1,500.00",1706
"NHL","Classic",3004345663,"NHL $1.5K Quarter Jukebox [Just $0.25!] (1/2)",119701390,"2021-12-02 19:00:00",6399,66.3,"$0.00","$0.00",7134,"$0.25","$1,500.00",1706
"NBA","Classic",3003137924,"Draft Time Matchups presented by Miller Lite",119538034,"2021-12-02 19:30:00",11068,209.25,"$0.00","$0.00",18396,"$0.00","$1,000.00",520
"NBA","Classic",3004064801,"NBA $7K Quarter Jukebox (1/2)",119703908,"2021-12-02 19:30:00",16698,224.75,"$0.00","$0.00",33293,"$0.25","$7,000.00",7990
"NBA","Classic",3004064802,"NBA $7K Quarter Jukebox (2/2)",119703908,"2021-12-02 19:30:00",22003,212,"$0.00","$0.00",33293,"$0.25","$7,000.00",7990
"NBA","Classic",3004078531,"Casual NBA $1 50-50",119722984,"2021-12-02 19:30:00",3,224.75,"$1.80","$0.00",10,"$1.00","$9.00",5
"NBA","Classic",3004888105,"NBA $300 Quarter Jukebox [Just $0.25!]",119776111,"2021-12-02 19:30:00",987,209.25,"$0.00","$0.00",1426,"$0.25","$300.00",329
"NBA","Showdown Captain Mode",3003099810,"NBA Showdown $250 Quarter Jukebox [Just $0.25!]  (SAC vs LAC) (2/2)",119724067,"2021-12-01 22:30:00",97,203,"$0.75","$0.00",1189,"$0.25","$250.00",273
"NBA","Showdown Captain Mode",3003098871,"NBA Showdown $250 Quarter Jukebox [Just $0.25!]  (SAC vs LAC) (1/2)",119724067,"2021-12-01 22:30:00",385,192.75,"$0.00","$0.00",1189,"$0.25","$250.00",273
"NBA","Classic",3002940377,"NBA $250 Quarter Jukebox [Just $0.25!]  (Night)",119719659,"2021-12-01 20:00:00",314,267,"$0.00","$0.00",1189,"$0.25","$250.00",273
"NBA","Classic",3002944760,"NBA $125 Quarter Jukebox [Just $0.25!] (Night) (2/2)",119720180,"2021-12-01 20:00:00",63,278.75,"$0.50","$0.00",594,"$0.25","$125.00",136
"NBA","Classic",3002934809,"NBA $125 Quarter Jukebox [Just $0.25!] (Night) (1/2)",119720180,"2021-12-01 20:00:00",138,267,"$0.00","$0.00",594,"$0.25","$125.00",136
"NBA","Classic",3002967697,"NBA $75 Quarter Jukebox [Just $0.25!] (Night)",119720564,"2021-12-01 20:00:00",62,278.75,"$0.50","$0.00",356,"$0.25","$75.00",83
